ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,86.07210279988576,76.67148820684594,94.42544617264403,86.07210279988576,86.07210279988576,0.0,0.0,0.0,0.0,0.0,0.0,86.07210279988576
1970-01-02,86.07774440487844,78.81004128291256,95.29252459059141,86.07774440487844,86.07774440487844,0.0,0.0,0.0,0.0,0.0,0.0,86.07774440487844
1970-01-04,86.08902761486384,76.15867646497443,94.41390921762911,86.08902761486384,86.08902761486384,0.0,0.0,0.0,0.0,0.0,0.0,86.08902761486384
1970-01-05,86.09466921985387,77.41642446492587,94.32766108457155,86.09466921985387,86.09466921985387,0.0,0.0,0.0,0.0,0.0,0.0,86.09466921985387
1970-01-07,86.10595242983285,77.36134831886554,94.21341489380454,86.10595242983285,86.10595242983285,0.0,0.0,0.0,0.0,0.0,0.0,86.10595242983285
1970-01-14,86.14544366475927,76.35182719256915,97.55881411365763,86.14544366475927,86.14544366475927,0.0,0.0,0.0,0.0,0.0,0.0,86.14544366475927
1970-01-17,86.16236847976369,78.1020618145784,94.22942322420651,86.16236847976369,86.16236847976369,0.0,0.0,0.0,0.0,0.0,0.0,86.16236847976369
1970-01-18,86.1680100847583,78.27284810761907,94.4623926131484,86.1680100847583,86.1680100847583,0.0,0.0,0.0,0.0,0.0,0.0,86.1680100847583
1970-01-19,86.17365168975287,74.71959376986787,94.26635445553552,86.17365168975286,86.17365168975286,0.0,0.0,0.0,0.0,0.0,0.0,86.17365168975287
1970-01-22,86.19057650470562,78.98112455312385,96.65251540316305,86.19057650470562,86.19057650470562,0.0,0.0,0.0,0.0,0.0,0.0,86.19057650470562
1970-01-25,86.20750131968451,78.30655484793084,94.325725421523,86.20750131968451,86.20750131968452,0.0,0.0,0.0,0.0,0.0,0.0,86.20750131968451
1970-01-26,86.21314292467747,77.3692597003744,95.40669875938298,86.21314292467747,86.21314292467747,0.0,0.0,0.0,0.0,0.0,0.0,86.21314292467747
1970-01-28,86.22442613462584,78.13475555646164,97.40787654189273,86.22442613462584,86.22442613462584,0.0,0.0,0.0,0.0,0.0,0.0,86.22442613462584
1970-01-30,86.23570934453586,76.72214112598651,94.4767672211721,86.23570934453586,86.23570934453586,0.0,0.0,0.0,0.0,0.0,0.0,86.23570934453586
1970-02-01,86.24699255444587,76.81933273686434,95.84097814940536,86.24699255444585,86.24699255444587,0.0,0.0,0.0,0.0,0.0,0.0,86.24699255444587
1970-02-03,86.25827576440562,77.7523067136275,93.32296431600795,86.25827576440562,86.25827576440562,0.0,0.0,0.0,0.0,0.0,0.0,86.25827576440562
1970-02-11,86.3034086042447,78.15460334736689,97.81356605271075,86.3034086042447,86.3034086042447,0.0,0.0,0.0,0.0,0.0,0.0,86.3034086042447
1970-02-12,86.30905020923868,77.73493202004515,93.39916343968748,86.30905020923868,86.30905020923868,0.0,0.0,0.0,0.0,0.0,0.0,86.30905020923868
1970-02-15,86.32597502424596,78.28152237309334,96.44437483915456,86.32597502424596,86.32597502424596,0.0,0.0,0.0,0.0,0.0,0.0,86.32597502424596
1970-02-18,86.34289983925325,78.31135980732161,91.94612377868592,86.34289983925325,86.34289983925325,0.0,0.0,0.0,0.0,0.0,0.0,86.34289983925325
1970-02-20,86.35418304924282,75.89856634901057,95.57765472584495,86.35418304924282,86.35418304924282,0.0,0.0,0.0,0.0,0.0,0.0,86.35418304924282
1970-02-22,86.36546625927512,78.45961064701955,96.02768779976242,86.36546625927512,86.36546625927514,0.0,0.0,0.0,0.0,0.0,0.0,86.36546625927512
1970-02-23,86.37110786429126,78.3750427102126,93.74132913106854,86.37110786429126,86.37110786429126,0.0,0.0,0.0,0.0,0.0,0.0,86.37110786429126
1970-02-28,86.39931588935258,75.96516125024651,94.62382078371122,86.39931588935258,86.39931588935258,0.0,0.0,0.0,0.0,0.0,0.0,86.39931588935258
1970-03-01,86.40495749439688,77.1130196410598,98.43533237729915,86.40495749439688,86.40495749439688,0.0,0.0,0.0,0.0,0.0,0.0,86.40495749439688
1970-03-04,86.42188230952972,79.1757861200853,95.3434955574478,86.42188230952972,86.42188230952972,0.0,0.0,0.0,0.0,0.0,0.0,86.42188230952972
1970-03-05,86.42752391457174,78.55553845948884,97.58252031599268,86.42752391457174,86.42752391457174,0.0,0.0,0.0,0.0,0.0,0.0,86.42752391457174
1970-03-11,86.46137354482372,78.6754796905494,92.9297500304125,86.46137354482372,86.46137354482372,0.0,0.0,0.0,0.0,0.0,0.0,86.46137354482372
1970-03-18,86.50086478028963,78.62063489219446,94.72487060440749,86.50086478028963,86.50086478028963,0.0,0.0,0.0,0.0,0.0,0.0,86.50086478028963
1970-03-26,86.54599762094655,78.7533360877274,93.57805182477155,86.54599762094657,86.54599762094655,0.0,0.0,0.0,0.0,0.0,0.0,86.54599762094655
1970-03-27,86.55163922602868,75.4693406579894,92.7222227614115,86.55163922602868,86.55163922602868,0.0,0.0,0.0,0.0,0.0,0.0,86.55163922602868
1970-04-01,86.57984741644727,78.57256990290198,94.34234953947707,86.57984741644728,86.57984741644727,0.0,0.0,0.0,0.0,0.0,0.0,86.57984741644727
1970-04-02,86.5854890545682,80.52403746260211,96.7143554714847,86.5854890545682,86.5854890545682,0.0,0.0,0.0,0.0,0.0,0.0,86.5854890545682
1970-04-08,86.61933888329372,78.75119039451235,93.97749358057504,86.61933888329372,86.61933888329372,0.0,0.0,0.0,0.0,0.0,0.0,86.61933888329372
